No,Name,Weight,Calorie,Protein ,Carbohydrates ,Sugar,Fat ,Saturated ,Fiber,Sodium,Source,Country,Original_Portion
1,Potato Crust Pizza,100,15.61316,0.86908,1.26825,0.0859,1.13688,0.47496,0.12632,0.041432974,allrecipes,US,8
2,Mexican Meatloaf II,100,19.21275,1.56005,0.53398,0.07329,1.1936,0.50257,0.07329,0.049209764,allrecipes,US,8
3,Cap Cai,100,16.53614,1.25013,1.2369,0.42333,0.78712,0.12567,0.29104,0.054238544,allrecipes,US,4
4,Pork Chops with Tomatoes and String Beans,100,26.01281,1.92943,0.74076,0.24118,1.73419,0.5972,0.29286,0.045938729,allrecipes,US,4
5,Easy Crab Linguine,100,26.37153,1.20966,3.78656,0.72765,0.73692,0.42176,0.16222,0.042639378,allrecipes,US,6
6,Aunt Jewel's Chicken Dressing Casserole,100,8.60843,1.07605,0.57633,0.09119,0.18968,0.05471,0.08025,0.027357286,allrecipes,US,12
7,Orecchiette and Broccoli Crisp,100,64.34165,2.22007,7.61282,0.45209,2.94664,1.29168,0.60547,0.050052474,allrecipes,US,4
8,Ki See Ming,100,23.336,1.39064,1.60018,0.48101,1.27634,0.56197,0.30003,0.096677716,allrecipes,US,4
9,Roasted Vegetables and Puff Pastry,100,52.74819,1.45718,3.50234,0.82659,3.65573,1.50831,0.29825,0.098849595,allrecipes,US,4
10,Sweet and Sour Pasta,100,35.18769,1.58515,5.88967,0.8609,0.71059,0.19131,0.39629,0.027330245,allrecipes,US,5
11,German Rouladen,100,11.57641,0.83754,0.33765,0.17979,0.76299,0.33326,0.07893,0.063582548,allrecipes,US,6
12,Aloo Phujia,100,25.44584,0.35732,2.7828,0.43312,1.52675,0.20573,0.43312,0.06388531,allrecipes,US,4
13,Cornbread that is a Meal,100,33.29522,1.34919,3.21061,0.69975,1.70135,0.69975,0.08232,0.08049394,allrecipes,US,6
14,Christy's Pork Chops Normandy,100,35.84392,1.81481,1.30033,0.4636,2.06357,1.13072,0.09046,0.015264759,allrecipes,US,4
15,Talerine,100,31.82391,1.6178,3.26222,0.47896,1.39961,0.63329,0.26609,0.092598013,allrecipes,US,6
16,Classic Bangers and Mash,100,27.27494,0.7948,2.67103,0.29533,1.53747,0.62541,0.31271,0.086862861,allrecipes,US,4
17,Burek,100,61.51637,2.30783,5.61906,0.15437,3.24948,1.42792,0.36277,0.06174793,allrecipes,US,4
18,General Tsao's Chicken II,100,27.72118,1.0625,2.40046,0.77392,1.59594,0.26672,0.03498,0.052031866,allrecipes,US,6
19,Stuffed Bell Peppers,100,30.43565,3.27813,2.18542,0.53205,1.17852,0.29177,0.44052,0.080093824,allrecipes,US,4
20,Tater Tot Casserole IV,100,28.04642,1.18375,1.73308,0.16248,1.96132,0.59961,0.16634,0.070793037,allrecipes,US,6
21,Crustless Quiche Lori-iane,100,26.52801,1.27678,0.70124,0.22493,2.14341,1.27017,0.16539,0.052923704,allrecipes,US,6
22,Chompchae Deopbap (Korean Spicy Tuna and Rice),100,44.96576,2.54433,7.0009,0.33604,0.72009,0.12002,0.38405,0.120815464,allrecipes,US,2
23,Slumgullion,100,18.27167,0.88411,2.35764,0.32644,0.58487,0.22216,0.19042,0.027656874,allrecipes,US,8
24,Sweet Polish Sausage,100,60.05554,2.02338,2.93461,2.43953,4.44856,1.50677,0.0287,0.165027158,allrecipes,US,4
25,Steak and Rice,100,21.53163,1.49574,1.88532,0.21914,0.81048,0.25393,0.10435,0.05878588,allrecipes,US,4
26,Chicago-Style Pan Pizza,100,25.49816,1.4249,2.06456,0.37056,1.20874,0.4632,0.21616,0.080288332,allrecipes,US,6
27,Mimi's Slumgullion,100,40.46597,1.12697,2.61014,0.36787,2.82619,1.08026,0.36203,0.072406645,allrecipes,US,4
28,Angel Hair de la Mer,100,25.9897,1.9813,1.87202,0.21856,1.13556,0.40861,0.11403,0.096926849,allrecipes,US,6
29,Celery Wine Baked Chicken,100,28.95097,2.50412,0.80057,0.16756,1.61046,0.79126,0.09309,0.066093853,allrecipes,US,4
30,Fried Soft-Shell Crab,100,28.38116,0.72142,2.01364,0.12684,1.93436,0.29332,0.06342,0.00634216,allrecipes,US,4
31,Smothered Filet Mignon,100,45.93334,2.74822,1.04323,0.53719,3.37883,1.26901,0.14014,0.053718654,allrecipes,US,4
32,Freak'n Good Ribs,100,37.44704,0.98814,5.86682,4.97714,1.14492,0.40109,0.06563,0.080582234,allrecipes,US,4
33,Mediterranean Pasta,100,42.19666,3.05841,3.42974,0.33082,1.79589,0.54012,0.33757,0.061438332,allrecipes,US,4
34,Saucy Chicken Cordon Bleu,100,34.35046,2.25055,2.35355,0.2369,1.6995,0.5974,0.1339,0.076219905,allrecipes,US,5
35,White Cheddar Macaroni with Bacon and Thyme,100,27.14768,1.3493,2.23807,0.27875,1.39778,0.76757,0.11716,0.037166461,allrecipes,US,8
36,Schnitzel with a Twist,100,74.06552,2.06034,3.88089,0.17762,5.69257,3.02834,0.23978,0.063053382,allrecipes,US,4
37,Vegetarian Reubens,100,38.981,1.39453,2.55847,0.80158,2.64632,1.19139,0.3404,0.104315362,allrecipes,US,6
38,Brined Bratwurst,100,22.38494,0.86146,0.5482,0.29368,1.84039,0.6461,0.0261,0.052209779,allrecipes,US,5
39,Green Bell Peppers stuffed with Tomato Lentil Couscous,100,29.64892,1.4878,1.50921,0.47809,1.98016,0.8884,0.22834,0.035321821,allrecipes,US,6
40,Funky Enchilada Casserole,100,21.93872,1.50068,2.41142,0.18436,0.74112,0.32447,0.55676,0.032815899,allrecipes,US,6
41,Cajun-Style Beef and Beans,100,19.10982,1.10789,2.33672,0.20803,0.55152,0.20803,0.2806,0.047895501,allrecipes,US,5
42,Easy Slow Cooker Carne Guisada,100,11.60461,0.76096,0.71974,0.08561,0.62779,0.24414,0.13,0.021560471,allrecipes,US,8
43,Crispy Flautas,100,17.45428,1.11468,1.53337,0.174,0.77212,0.20119,0.2175,0.039149797,allrecipes,US,6
44,Polish Meat Balls,100,8.88868,0.7455,0.38318,0.08602,0.4692,0.17204,0.03128,0.024502521,allrecipes,US,16
45,Baked Macaroni and Cheese I,100,44.81696,2.21726,3.45169,0.58183,2.48459,1.50962,0.15725,0.04560322,allrecipes,US,5
46,Tomato-Sauerkraut Pork,100,15.66392,1.76516,0.37809,0.22254,0.74323,0.2463,0.13611,0.040618174,allrecipes,US,6
47,Cheesy Broccoli Bake,100,27.84014,1.23366,1.66379,0.44903,1.78668,0.68537,0.16071,0.073736204,allrecipes,US,8
48,Sheboygan Grilled Brats,100,17.52112,0.57419,1.02699,0.11812,1.08277,0.41014,0.04265,0.033139201,allrecipes,US,10
49,Chicken Celery Casserole,100,19.43605,1.90658,1.2834,0.38255,0.73425,0.16042,0.22213,0.086382427,allrecipes,US,4
50,Italian Style Meatloaf II,100,42.29724,2.19572,1.22538,0.6469,3.16607,1.2627,0.11818,0.04851742,allrecipes,US,5
51,Charleston Shrimp 'n' Gravy,100,21.78848,2.27826,1.04386,0.19055,0.91959,0.42251,0.11598,0.090302056,allrecipes,US,4
52,Busy Day Barbeque Brisket,100,20.50055,0.98624,1.07489,0.71475,1.33531,0.51528,0.05541,0.065934188,allrecipes,US,8
53,Walter's Chicken and Mac,100,30.48167,2.12078,2.38677,0.266,1.34436,0.71172,0.11503,0.050323508,allrecipes,US,6
54,Kathy's Easy Chile Chicken and Rice,100,37.75263,2.33221,3.97204,0.46644,1.33373,0.69966,0.1822,0.091101896,allrecipes,US,4
55,Creamy Linguini for Two,100,205.51067,5.48995,17.77502,0.87011,12.86513,7.29231,0.84939,0.136730889,allrecipes,US,2
56,French Dip Sandwiches,100,15.15614,1.20597,1.21412,0.06519,0.58669,0.21593,0.06111,0.04766852,allrecipes,US,10
57,Bacon-Wrapped Chicken Stuffed with Spinach and Ricotta,100,46.72934,3.45999,0.58314,0.05443,3.35891,1.17406,0.14773,0.083972849,allrecipes,US,4
58,Vegetarian Burrito Casserole,100,16.3374,1.7077,1.20682,0.21178,0.60509,0.32608,0.25884,0.06084504,allrecipes,US,8
59,Lemon-Pepper Salmon,100,34.18311,2.16905,2.4848,0.0961,1.61306,0.46676,0.21279,0.071386406,allrecipes,US,4
60,Ham and Beans and More,100,14.80946,0.82275,1.28736,0.08389,0.7195,0.24844,0.39363,0.03065139,allrecipes,US,8
61,On the Go Casserole,100,42.34298,1.88827,2.38418,0.37193,2.87055,1.25885,0.23842,0.108718457,allrecipes,US,4
62,Black-Eyed Pea Pie,100,24.73483,0.89945,1.50162,0.08766,1.71124,0.63266,0.24392,0.039255592,allrecipes,US,8
63,Turkey Ragu with Fontina and Parmesan,100,19.68532,1.21572,2.32857,0.2525,0.61721,0.24782,0.16833,0.032263344,allrecipes,US,8
64,Make Ahead Manicotti,100,22.8219,1.29639,2.51176,0.82825,0.85976,0.42763,0.28809,0.047714434,allrecipes,US,6
65,Yummy Lasagna,100,34.30691,2.27595,1.87738,0.36877,1.94443,0.88282,0.17507,0.058481928,allrecipes,US,6
66,Green Olive Chicken I,100,40.42599,2.25772,3.51438,0.28115,1.93823,0.48136,0.47284,0.055804047,allrecipes,US,3
67,Mom's Chicken Paprika,100,33.36148,2.44352,0.65827,0.11373,2.27465,0.64104,0.07927,0.021712533,allrecipes,US,5
68,Grilled Swordfish,100,32.73782,4.32139,0.57993,0.49574,1.32822,0.31802,0.00935,0.151529324,allrecipes,US,4
69,Almond-Crusted Halibut Crystal Symphony,100,37.99241,2.53489,0.50202,0.09297,2.82619,1.22096,0.12396,0.009296676,allrecipes,US,6
70,Waterzooi (Vaterzoy),100,12.56184,0.85465,0.26524,0.06999,0.89149,0.32418,0.03684,0.030207362,allrecipes,US,6
71,Savory Stuffed Zucchini,100,51.21765,2.00939,1.41968,0.52419,4.41193,1.61625,0.41498,0.067707764,allrecipes,US,4
72,Grilled Veggie-Portobello Mushroom Burgers,100,20.32285,0.49669,1.78394,0.29801,1.32864,0.28146,0.2856,0.060016556,allrecipes,US,6
73,Turkey Meatloaf and Gravy,100,16.9419,1.15936,1.05585,0.52447,0.91438,0.383,0.08971,0.049687041,allrecipes,US,6
74,Thai Steamed Mussels,100,16.27131,1.62377,0.71943,0.09077,0.82029,0.4673,0.04034,0.045384864,allrecipes,US,6
75,Manicotti Shells,100,32.66699,1.55046,4.7099,0.06826,0.78986,0.23403,0.16577,0.024378352,allrecipes,US,4
76,Indian Shrimp Curry,100,30.08933,1.66359,0.7884,0.25316,2.3218,1.48277,0.20976,0.067267007,allrecipes,US,4
77,Potato Lasagna,100,23.46148,0.94284,3.63251,0.59933,0.61029,0.34352,0.41295,0.031428154,allrecipes,US,4
78,Traci's Chicken Noodle Casserole,100,25.3327,1.79658,1.89639,0.36122,1.14068,0.55133,0.10456,0.062737642,allrecipes,US,6
79,Eggplant Parmigiana Caponata,100,21.20176,0.63032,1.32235,0.97854,1.55156,0.37467,0.19835,0.049367914,allrecipes,US,8
80,Pheasant Phungi Perfection,100,49.67774,4.43221,1.15422,0.0831,2.94558,0.93261,0.20314,0.066483222,allrecipes,US,4
81,Calves' Liver with Sherry,100,38.61004,2.54372,3.55212,0.32705,1.36271,0.27254,0.19078,0.06086759,allrecipes,US,4
82,Pinakbet,100,13.1174,1.02594,0.60824,0.22717,0.7548,0.16122,0.19053,0.005862524,allrecipes,US,6
83,Cabbage Burgers,100,9.1334,0.57962,0.80405,0.10929,0.3747,0.1288,0.09563,0.010148222,allrecipes,US,18
84,Chicken Provolone,100,22.12936,1.567,1.98566,0.13955,0.6898,0.30702,0.1555,0.061005271,allrecipes,US,8
85,Summer Feta Burger with Gourmet Cheese Spread,100,24.4216,1.30306,1.18656,0.16828,1.56626,0.7292,0.08198,0.047462483,allrecipes,US,8
86,Sweet and Sour Drumettes,100,51.61031,2.43745,6.05123,5.34119,1.96056,0.56167,0.03179,0.083721029,allrecipes,US,4
87,Grilled Cornish Game Hens,100,27.66933,1.65508,0.27002,0.07306,2.1983,0.48922,0.02859,0.035579388,allrecipes,US,4
88,Thai Ground Chicken Basil,100,24.00211,2.58484,1.45068,0.64181,0.94074,0.19342,0.21101,0.067698259,allrecipes,US,4
89,Penne with Chili,,,,,,,,,0,allrecipes,US,
90,Classic Irish Boiled Dinner,100,15.47345,0.78908,1.30487,0.28358,0.83429,0.2918,0.29591,0.055893474,allrecipes,US,6
91,Soy Braised Chicken,100,28.17163,1.34734,0.41814,0.3041,2.30188,0.40547,0.02957,0.068845216,allrecipes,US,6
92,Vegan Lentil,,,,,,,,,0,allrecipes,US,
93,Comforting Chicken Casserole,100,24.99487,1.87151,2.67358,0.18653,0.70259,0.17409,0.08083,0.135544322,allrecipes,US,4
94,Tallerine,100,40.79602,2.2699,4.14801,0.51617,1.65423,0.72139,0.27363,0.087686567,allrecipes,US,5
95,Marrakesh Vegetable Curry,100,14.0746,0.3412,1.66336,0.55019,0.76771,0.0981,0.44783,0.037105751,allrecipes,US,6
96,Apple Curry Turkey Pita,100,47.65616,3.49627,5.55617,1.23594,1.25821,0.22269,0.45652,0.043425008,allrecipes,US,3
97,Pan-Seared Ahi Tuna with Blood Orange Sauce,100,25.65219,3.68112,0.93219,0.04763,0.57837,0.19052,0.1565,0.007484724,allrecipes,US,4
98,Authentic and Easy Shrimp Curry,100,20.05467,2.28029,0.39367,0.14113,0.95074,0.16341,0.11141,0.054221879,allrecipes,US,5
99,Grilled Italian Hamburgers,100,20.85401,1.23964,2.00601,0.09771,0.85798,0.33892,0.0916,0.040914157,allrecipes,US,12
100,Tuna Italiano,100,36.4685,1.6522,4.18156,0.19826,1.52603,0.27637,0.35447,0.05106792,allrecipes,US,6
101,Kale and Spinach Saag,100,14.14385,1.06634,1.56989,0.4295,0.51096,0.2888,0.31102,0.025177539,allrecipes,US,4
102,Bountiful Garden Zucchini Enchiladas,100,36.50178,1.33436,4.07475,0.52382,1.69827,0.81605,0.38046,0.062858056,allrecipes,US,4
103,Manicotti with Cheese,100,17.92049,0.6915,2.14267,1.00316,0.72802,0.33601,0.31166,0.056245024,allrecipes,US,7
104,Easy Apricot Chicken in a Pan,100,14.10042,0.85303,2.20896,0.67478,0.20371,0.04138,0.06684,0.009230524,allrecipes,US,8
105,Glenn's Blowing Rock Salmon,100,43.80616,3.59398,0.41136,0.09382,3.06715,1.60935,0.0433,0.070003248,allrecipes,US,4
106,Szechuan Spicy Eggplant,100,23.0936,1.04733,3.22577,0.39275,0.65982,0.20423,0.29325,0.056555754,allrecipes,US,4
107,Simmering Marinara with Brie,100,22.57184,1.19597,0.90961,0.53061,1.65078,0.87592,0.24425,0.031162618,allrecipes,US,4
108,Slow Cooker Root Vegetable Tagine,100,6.22156,0.13298,1.47228,0.72664,0.03324,0.00475,0.34195,0.009023642,allrecipes,US,8
109,Quornâ„¢ and Chickpea Curry,100,19.76056,1.21603,2.22216,0.40534,0.74554,0.12305,0.5863,0.106403,allrecipes,US,4
110,Easy Paella,100,20.82644,1.57613,1.29316,0.05376,0.99322,0.29146,0.08206,0.033956146,allrecipes,US,8
111,Parchment Salmon Packages with Asparagus,100,83.89208,4.98861,1.8607,0.30477,6.38414,1.09076,0.49726,0.115491964,allrecipes,US,2
112,Authentic Chinese Steamed Fish,100,18.78935,2.88037,0.09915,0.01983,0.68415,0.12394,0.01487,0.068910812,allrecipes,US,6
113,Zucchini with Mushroom Ravioli in Truffle Butter Sauce,100,62.92011,2.04107,7.21279,0.89009,3.00789,1.65741,0.72128,0.05678156,allrecipes,US,2
114,Cheesy Macaroni and Beef Casserole with Thyme,100,31.87738,1.70962,3.11057,0.31462,1.34752,0.7539,0.21964,0.035023567,allrecipes,US,6
115,Honey-Lime Enchiladas,100,22.31591,1.26557,1.6662,0.42685,1.1757,0.5916,0.09735,0.031077529,allrecipes,US,10
116,Red Snapper with Fennel and Garlic,100,19.40139,2.71705,0.30476,0.02575,0.71253,0.1116,0.06868,0.006867749,allrecipes,US,6
117,Salmon Fettuccini with Blue Cheese and Olives,100,42.94077,2.74718,3.96673,0.85368,1.84215,0.45572,0.31451,0.063544635,allrecipes,US,4
118,Italian Escarole Pizza,100,53.98183,3.08926,6.19989,0.49172,1.96686,0.87654,0.36344,0.165686798,allrecipes,US,4
119,Best Lasagna,100,16.2184,1.03642,1.49938,0.26284,0.67801,0.34946,0.12246,0.022401099,allrecipes,US,10
120,Southern Fried Chicken,100,20.7236,1.38439,0.67953,0.00422,1.35062,0.28279,0.02954,0.003798622,allrecipes,US,6
121,Shrimp and Tasso Pasta,100,51.97254,2.39315,3.22109,0.23569,3.29361,1.8553,0.20547,0.071311158,allrecipes,US,4
122,Sweet and Tangy Slow Cooker Bar-B-Q Pork,100,25.8527,1.79515,2.16809,1.72562,1.14409,0.39822,0.10746,0.059416955,allrecipes,US,4
123,Shrimp Tacos,100,35.4032,1.94811,3.71515,0.93035,1.44235,0.42459,0.48703,0.059317536,allrecipes,US,4
124,Goat Shoulder Braised with Prunes and Preserved Lemons,100,14.95272,1.9204,0.58638,0.3616,0.43979,0.09773,0.06841,0.047399155,allrecipes,US,6
125,Coquilles St. Jacques,100,65.97669,2.64501,1.45624,0.2749,5.47577,1.78315,0.15603,0.062410378,allrecipes,US,4
126,Pork Apple Burgers,100,24.28115,1.05888,1.85304,0.74395,1.37837,0.46554,0.10954,0.030123232,allrecipes,US,8
127,Portobello Mushroom Ravioli with Prawns,100,34.05604,1.53134,2.57194,0.34293,1.90974,0.91053,0.37249,0.030153784,allrecipes,US,4
128,A Fragrant,,,,,,,,,0,allrecipes,US,
129,Apricot Glazed Ham,100,17.55449,1.25056,0.25892,0.15535,1.25315,0.44534,0.01812,0.086995697,allrecipes,US,14
130,Smothered Beef Short Ribs,100,31.21105,1.04935,0.54542,0.08088,2.66901,1.04935,0.05807,0.025715418,allrecipes,US,6
131,Chicken and Cranberry Pizza with Brie and Almonds,100,38.80407,2.36005,3.90585,1.20865,1.57125,0.60433,0.18448,0.04389313,allrecipes,US,6
132,Best City Chicken,100,16.09702,1.38286,1.02079,0.07416,0.68925,0.15268,0.04799,0.027046481,allrecipes,US,7
133,Orange Chicken Stir Fry,100,42.69048,2.82702,3.34843,0.72509,2.04491,0.29329,0.21997,0.14257316,allrecipes,US,4
134,Stuffed Chicken with Pastry Crust,100,79.43762,4.6768,6.74782,0.11668,3.80173,2.29465,0.39865,0.153624767,allrecipes,US,3
135,Alla Checca,100,49.99918,1.27047,5.68843,0.33606,2.51635,0.37704,0.52458,0.00655727,allrecipes,US,4
136,Easy Tomato-Basil Pizza,100,26.7701,1.5474,2.92975,0.24758,1.05224,0.45906,0.17537,0.073759626,allrecipes,US,8
137,Tangy Barbecued Chicken,100,16.12212,1.44701,0.02753,0.00612,1.07073,0.26003,0.00306,0.057819383,allrecipes,US,8
138,Octoberfest Pork Chops,100,25.17649,2.0244,2.25047,0.05138,0.93513,0.35966,0.03083,0.045214925,allrecipes,US,4
139,Scallop Scampi,100,18.76339,1.11017,2.26724,0.06776,0.48472,0.1303,0.14594,0.041696419,allrecipes,US,8
140,Stuffed Pork Chops I,100,37.39379,1.54981,1.73003,0.23427,2.70317,1.07226,0.07208,0.075688631,allrecipes,US,4
141,Spicy Honey Mustard Pork Roast,100,16.33943,1.77457,0.9442,0.77679,0.58929,0.1875,0.04018,0.024777007,allrecipes,US,6
142,Burmese Chicken Curry (Gaeng Gai Bama),100,29.33624,1.98796,1.8292,0.64885,1.63593,0.57982,0.19327,0.055911425,allrecipes,US,4
143,Beer Steak,100,22.70229,1.55553,0.41441,0.01802,1.27325,0.51651,0.00601,0.204200525,allrecipes,US,4
144,Chicken and Ham Casserole,100,85.13635,5.34503,3.96876,1.0402,5.29702,3.08859,0.28806,0.185635642,allrecipes,US,2
145,Tomato and Garlic Pasta,100,21.67787,0.85878,3.49347,0.62532,0.56696,0.11673,0.41688,0.020010339,allrecipes,US,4
146,Quinoa Pilaf with Shredded Chicken,100,30.23813,1.58944,3.32426,0.30044,1.20177,0.70749,0.50397,0.005815024,allrecipes,US,4
147,Grape and Apple Glazed Pork Chops,100,29.46817,1.61409,3.08749,2.40632,1.24388,0.35539,0.19991,0.044424371,allrecipes,US,3
148,Excellent Crab Imperial,100,36.41371,1.54741,0.795,0.12777,2.93155,0.7808,0.05679,0.055365876,allrecipes,US,6
149,Easy Cheesy Tuna Casserole,100,105.61113,5.58108,11.6528,0.63784,4.16434,2.0607,0.95676,0.144739989,allrecipes,US,2
150,Ground Beef Stroganoff,100,56.43579,2.38393,3.72184,0.24326,3.56778,1.05412,0.24326,0.038921233,allrecipes,US,4
151,Carne Con Chilies,100,21.5106,1.30167,0.91558,0.45227,1.4561,0.51846,0.27578,0.04743362,allrecipes,US,4
152,Super Short Ribs,100,19.51823,0.79049,0.70591,0.5335,1.49965,0.62133,0.03253,0.016590491,allrecipes,US,8
153,Chicken Pelau,100,22.53156,1.2648,2.04488,0.04165,0.98836,0.26886,0.09467,0.048471262,allrecipes,US,6
154,Lemon-Dijon Chicken,100,27.05098,2.37862,1.15327,0.0848,1.37799,0.36888,0.08904,0.027559773,allrecipes,US,4
155,Mexicali Pork Chops,100,17.09014,0.99062,1.2931,0.32517,0.95281,0.45372,0.25711,0.04461585,allrecipes,US,4
156,Malaysian Mango Chicken Curry,100,39.05574,3.13744,4.54388,3.29972,0.98451,0.1731,0.54094,0.076813225,allrecipes,US,2
157,Slow Cooker Marmalade Curry Chicken,100,26.07164,2.5538,3.45335,3.07981,0.27444,0.07623,0.06099,0.013721918,allrecipes,US,5
158,Braised Pork Ragu,100,11.07928,0.8004,0.4339,0.23591,0.57713,0.16008,0.09689,0.023590867,allrecipes,US,6
159,Elegant Pork Loin Roast,100,13.14952,0.97378,1.48554,1.1728,0.31985,0.09951,0.09951,0.008529421,allrecipes,US,8
160,Creole Shrimp and Pasta Meuniere,100,60.21235,3.32456,5.31285,0.20124,2.89792,1.17527,0.39444,0.050713613,allrecipes,US,4
161,Hamburger Steak with Onions and Gravy,100,32.00337,2.31749,1.35437,0.26084,1.85599,0.63204,0.12039,0.060194428,allrecipes,US,4
162,Thai Pork Loin,100,35.28724,2.39145,0.18069,0.06377,2.17888,0.76527,0.01063,0.037200404,allrecipes,US,4
163,Coconut Shrimp II,100,28.37546,0.5986,2.13312,1.04176,2.03721,0.88301,0.26127,0.013890083,allrecipes,US,6
164,Patsy's Best Barbeque Beef,100,8.67967,0.64243,0.3121,0.22098,0.53536,0.21187,0.03417,0.038728167,allrecipes,US,12
165,Tamale Pie Casserole,100,9.31814,0.46391,0.59988,0.07998,0.56789,0.20396,0.07998,0.01319736,allrecipes,US,8
166,Barbequed Ribs,100,25.29043,1.90108,0.81291,0.64516,1.61291,0.58925,0.03871,0.044731375,allrecipes,US,8
167,Mistakenly Zesty Pork Chops,100,27.11805,1.33916,4.82099,4.27863,0.36827,0.12052,0.08705,0.317381668,allrecipes,US,4
168,Boliche (Cuban Pot Roast),100,12.91436,0.84992,0.68656,0.09272,0.72188,0.20089,0.07064,0.019647493,allrecipes,US,8
169,Andouille and Poblano Quesadillas,100,62.76568,2.30911,5.00656,0.47232,3.76804,1.66885,0.41984,0.101810548,allrecipes,US,4
170,Italian Baked Cannelloni,100,29.44816,1.23748,1.56836,0.40036,1.9224,0.77756,0.10588,0.027462892,allrecipes,US,6
171,Open-Faced Broiled Roast Beef Sandwich,100,38.03119,3.2954,2.20332,0.4215,1.83929,0.75679,0.19159,0.156148216,allrecipes,US,4
172,Pork and Vinegar,100,15.59425,1.0623,1.50912,0.26632,0.59477,0.20418,0.2456,0.015091213,allrecipes,US,6
173,Good For You Macaroni and Cheese,100,31.49241,1.21125,3.31074,0.43908,1.48882,0.90339,0.17159,0.027253044,allrecipes,US,8
174,Kim's Prime Rib,100,22.127,1.8307,0.14055,0.06126,1.52438,0.61624,0.0036,0.035316715,allrecipes,US,5
175,Black and White Pizza,100,59.36043,3.32938,4.92099,0.41414,3.05329,1.19371,0.38978,0.166469069,allrecipes,US,4
176,Pasta Pomodoro,100,38.70868,1.25416,5.39599,0.50321,1.41674,0.22451,0.41805,0.027096075,allrecipes,US,4
177,Turkey and Bacon Panini with Chipotle Mayonnaise,100,52.30509,2.58158,4.87133,0.23945,2.4843,0.91291,0.3068,0.170608879,allrecipes,US,4
178,Fried Tempeh,100,22.93275,1.15766,0.63947,0,1.88534,0.28666,0,0.001102536,allrecipes,US,4
179,One Skillet Corned Beef Hash,100,24.28376,1.78621,1.59194,0.18348,1.16562,0.39394,0.17268,0.061518868,allrecipes,US,6
180,Burmese Chicken Curry,100,11.81747,1.22572,0.27482,0.11543,0.6321,0.14841,0.07145,0.027482494,allrecipes,US,8
181,Cheeseburger Pie,100,13.46816,0.5265,1.28766,0.24649,0.69806,0.28593,0.12226,0.035297226,allrecipes,US,12
182,Boneless Garlic and Rosemary Rubbed Prime Rib with Red Wine Mushroom Sauce,100,11.02762,1.13072,0.18638,0.00932,0.55293,0.18949,0.05591,0.035723272,allrecipes,US,8
183,Super Grilled Salmon,100,31.4709,2.44159,0.87842,0.64325,1.80525,0.31125,0.01383,0.09060853,allrecipes,US,6
184,Crispy Chinese Noodles with Eggplant and Peanuts,100,33.98771,0.74919,5.37225,0.63346,1.02938,0.09136,0.43246,0.079791932,allrecipes,US,4
185,Baked Snapper with Mandarin Oranges,,,,,,,,,0,allrecipes,US,
186,Hot Dog Creole,100,26.35954,0.92114,1.25135,0.6083,2.02766,0.73575,0.24332,0.103700185,allrecipes,US,4
187,Simple Deep Fried Turkey,100,3.90209,0.45416,0.00178,0,0.2179,0.05625,0.00059,0.004559342,allrecipes,US,12
188,Turkey in a Smoker,100,10.92996,1.24514,0.17138,0.13291,0.55437,0.20286,0.01224,0.020810636,allrecipes,US,13
189,Kiki's Sweet and Spicy Marinated Shrimp,100,10.13029,1.49412,0.79008,0.61016,0.07823,0.01956,0.01173,0.01603636,allrecipes,US,10
190,Chinese Five Spice Spare Ribs,100,86.71488,5.95341,1.1562,0.90265,6.34895,2.27183,0.02028,0.110548788,allrecipes,US,2
191,Mushroom Pork Chops,100,20.54795,2.3092,0.93933,0.31311,0.8317,0.21526,0.09785,0.09001957,allrecipes,US,4
192,Lasagna Roll Ups,100,15.11427,1.03973,1.40181,0.2591,0.62118,0.29896,0.14948,0.025910178,allrecipes,US,12
193,Smothered Meatballs,100,35.62856,1.86746,1.70379,0.2392,2.31229,0.98619,0.14268,0.080573414,allrecipes,US,5
194,Steak Continental,100,44.78619,5.05123,0.18405,0.06135,2.53584,0.89981,0.0409,0.168715107,allrecipes,US,4
195,Slow Cooker Chops,100,18.22323,1.17583,2.00022,0.19525,0.61178,0.19959,0.28203,0.035578696,allrecipes,US,4
196,Best Greek Stuffed Turkey,100,8.5852,0.85241,0.32607,0.01588,0.41155,0.15754,0.02198,0.003175181,allrecipes,US,18
197,New York Style Pizza,100,56.01826,3.13983,4.41757,0.3506,2.85156,1.25437,0.28048,0.142577775,allrecipes,US,4
198,Pesto Lasagna,100,27.47147,1.41216,2.07194,0.16977,1.55877,0.62891,0.16977,0.041284368,allrecipes,US,8
199,Jean's Swedish Faux Meatballs,100,37.5134,6.31029,1.42015,0.20096,1.1187,0.5627,0.46222,0.09244373,allrecipes,US,6
200,Grilled Maple Turkey Sandwich,100,258.83735,15.29066,12.14328,2.70112,17.09924,9.48914,0.70464,0.660011744,allrecipes,US,1
201,Rudechack's Franks and Noodles,100,59.39591,1.81871,5.85518,1.45804,3.24606,1.07434,0.22254,0.151943029,allrecipes,US,4
202,Sloppy Tofu,100,39.80082,1.56791,6.40948,2.29731,1.10845,0.19527,0.48243,0.116013945,allrecipes,US,4
203,Caribbean Cook Up,100,18.4102,0.94863,2.84214,0.19123,0.32996,0.08999,0.18373,0.020622422,allrecipes,US,5
