No,Name,Weight,Calorie,Protein ,Carbohydrates ,Sugar,Fat ,Saturated ,Fiber,Sodium,Source,Country,Original_Portion
3760,Sausage and Sauerkraut,100,35.87755,1.13589,1.32059,0.93272,2.87667,1.21901,0.30013,0.124671007,allrecipes,US,5
3761,Cheesy Spinach Casserole,100,49.84198,2.72126,4.06756,0.2769,2.57803,1.52772,0.50606,0.101211676,allrecipes,US,4
3762,Grilled Jamaican Jerked Pork Loin Chops,100,17.15776,1.50861,0.6215,0.32403,0.75962,0.28685,0.03718,0.033996802,allrecipes,US,8
3763,Quick Weekday Pasta,100,31.25161,2.1234,4.4266,0.44523,0.55654,0.18837,0.41954,0.054797336,allrecipes,US,4
3764,Lemon Thyme Swordfish with Asparagus,100,14.34214,2.1776,0.54065,0.21025,0.39047,0.12014,0.19523,0.016519741,allrecipes,US,4
3765,The Greatest Brisket Ever,100,47.38802,2.10613,0.56952,0.0591,4.05108,1.40767,0.08596,0.106918543,allrecipes,US,6
3766,Chicken Half Moons,100,58.67957,3.22218,7.90899,0.23623,1.46463,0.66144,0.32127,0.024567935,allrecipes,US,3
3767,Razor Clam in Sha Cha Sauce,100,35.30172,1.29189,0.91634,0.18026,2.91427,0.33048,0.07511,0.04055942,allrecipes,US,2
3768,The Real Reuben,100,250.82508,10.33147,15.15282,4.96484,16.84603,5.68231,1.69321,0.780599799,allrecipes,US,1
3769,Pot Roast for Many,100,9.98462,0.44645,1.02615,0.20938,0.46203,0.16266,0.10037,0.02059219,allrecipes,US,16
3770,Family Casserole,100,19.36923,1.15922,1.40378,0.20054,1.03694,0.54782,0.21032,0.037662388,allrecipes,US,6
3771,Tofu Turkey II,100,66.91153,2.39759,6.53811,0.86721,3.60489,0.58664,0.50162,0.18024452,allrecipes,US,4
3772,Lover's Loaf,100,27.21232,1.76845,0.86137,0.09141,1.59969,0.67503,0.07735,0.038322258,allrecipes,US,6
3773,Salt and Pepper Squid,100,189.73607,3.54839,16.1437,0.02933,12.21408,2.08211,0.36657,0.791788856,allrecipes,US,2
