group,Source,sample_id,CO2,Landuse,Alcohol,Beta-carotene,Calcium,Carbo,Cholesterol,Copper,DHA,Dietary fibre,DPA,EPA,Fat,Folate,Iodine,Iron,Kilocalories,Kilojoules,Magnesium,Mono+Di,MuFa,Niacin,Omega-3,Omega-6,Phosphorus,Potassium,Protein,PuFa,Retinol,Riboflavin,Salt,SatFa,Selenium,Sodium,Starch,Sugar,Thiamin,TransFa,Vitamin A,Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Zinc
Norway,Aperitif,"
Muslim steak curry",1.5752775965952275,2.7649833721218395,0.0012869245865737484,13.930744956112752,17.53202260744054,2.8667879730690586,17.327547981838674,0.10082466556538104,0.014096681520246894,0.9731272639984145,0.005325036354626856,0.010382741178063301,18.99784982637229,10.609473734874843,1.4146802960257596,2.2328271832480686,227.46365603500362,942.9200622721012,29.352811757968798,1.7529051104283198,7.981438906102083,2.740209162055336,0.9616566953270619,2.69484938903582,120.18878030293578,286.32947117549026,10.916201426662022,4.1788087868157575,2.1187494722725666,0.09169354889524238,0.6126789971043292,6.215903112232229,3.179930599330783,56.89127568477985,0.23889372557271796,0.6392362505053067,0.04002572225568443,8.663986986626886e-4,3.231798335911928,0.8705987756333994,0.14573644414521658,3.6305594141338773,0.07737099022876162,2.295502315645339,2.3854379270012234
Norway,Tine,7-layer Gratin Tacodip,0.8227135126235443,1.2037093025004195,0,287.0506176187118,80.60923786937978,6.2057975324999894,19.340804546219637,0.11162006154929721,0,2.0498112155330066,0.005642474916659622,0.003910667092009144,13.065264774016974,19.628218256788717,3.447758014138558,0.8815259078849149,171.43935161822068,711.8023781011515,22.93870476338387,1.8623478370264446,6.7255041197972005,1.5071922492701046,0.0975681480001223,1.0782343194961876,106.65738691712619,313.0286592639661,6.3111374812178935,1.2387893967096664,33.69524610423944,0.10466952801440847,1.4763764946048143,4.234400982683909,2.3405222708039637,264.9952741207582,4.23701015499144,0,0.08562206075989454,0.05362942125977985,59.64244872202358,0.5957295511390652,0.19037286290086036,6.789471683376223,0.08678024570482067,1.723035116944683,1.3202677179888584
Norway,Aperitif,A lightly cooked chicken salad with avocado and bacon,0.6986028401599489,1.07010001163543,0,90.40283311448874,22.805508852856224,3.084767067093892,48.802044189501366,0.05941325343130022,0.006214298007495716,0.43440083250918377,0.009358687546315267,9.507649686602035e-4,11.124684163170414,10.551624306688721,3.8780224553385194,0.4250436489587452,163.20995451492698,679.5929202188264,20.73732020075608,3.084767067093892,5.1497345550664955,4.526566846943075,0.17128947944423636,1.792151051163596,138.85827687071856,302.63051411979717,12.469338550595737,1.9514832970083968,38.57805590747885,0.11967638978578996,0.24834432446361493,3.8062611897580823,7.171269352801193,97.07238830113701,0,2.5386317221003947,0.14112944149944495,0.0605969255524669,46.102998541997714,0.24559454085181665,0.3321331425069563,4.030796784893762,0.2716535986133842,1.142025801552947,0.8057484218042171
Norway,Kolonialen,A very simple taco,0.7760644232966336,1.2617829123949096,0,302.7728169189697,51.318656788903226,8.710486026115634,14.974206259373727,0.06833667163062677,0,1.5499400725586094,0.00445660900576599,0.004010948105189391,8.032540899294965,19.814914085880243,1.9055767908439891,0.9804983796576939,137.01152811174495,572.2841258053415,20.277297821727515,1.5738326753453777,4.147155813639973,1.5625897967929072,0.10768999473508656,0.6951849183855212,104.68036926067441,259.644373624498,6.797460259753223,0.8462907987611125,13.88233705296106,0.06566019716201552,1.6612759740472296,2.6760948802278945,2.3484099496063813,264.00594223882007,6.988592305997032,0.04778823331281978,0.06877743800948716,0.02673965403459594,41.81305486175462,0.6194686518014726,0.14110681729387423,5.663002959278282,0.03565287204612792,1.0260086968157969,1.3679059253277477
Norway,Aperitif,Afghan lamb stew with spinach,0.8450395847026658,1.385621096125982,0,343.5206379830282,18.494145459877664,2.600269437530585,14.356946046937088,0.09667429258179998,0.0054177154894102224,1.0374060429442244,0.013544288723525555,0.010835430978820445,4.727575505185927,22.771495880712724,3.1292212867353704,0.9459527350378192,78.19541361264616,327.8234981172789,18.67706924424404,2.4202008915707762,1.9057910046152682,1.8667324678807649,0.11246706788437308,0.34005253760554505,72.03138497203537,290.7151580218867,5.894777891859361,0.4663575124215748,4.036198039610616,0.07217332058922034,0.33460135925526896,1.7564541398953073,0.9030859538919271,123.96800664166433,0.04476499107664895,0.008126573234115333,0.06056440714195259,0.11106316753290955,32.51025375555916,0.5282272602174966,0.11726031161627325,8.220928100068178,0,1.0816101930474986,1.0926591918735762
US,allrecipes,african curry,0.5084024981580665,0.7657079478505526,0,64.29723398109586,11.956441834304554,1.306694541661888,35.493475463906016,0.08933238375450592,0.005219628744692061,0.7054516634147884,0.005219628744692061,0,9.687033633517334,12.175151626483297,2.9084727072095724,1.054528120023642,134.3312120943699,558.72337346498,24.526281933906787,1.2628193346753225,3.041531887514052,3.7243613306298267,0.10983619739450542,1.2666403234698276,122.47070850940786,271.37118636398924,10.128257673210216,1.3604093916602626,12.00514611279174,0.07506111009164186,0.1570713104201568,5.11183376216315,5.870451203809636,60.28967561092956,0.040525638669176044,0,0.104503537952148,0,17.30120841891058,0.15658886234076183,0.2653285241751271,6.309501929763327,0.20878514978768245,1.0779498253947897,0.6704787722984262
Norway,Tine,Ajo Bianco With Coppa Ham,0.35302436252021147,0.38982607579579437,0.6582955376409207,96.21258585342001,45.43964083998403,4.250752683830622,18.474166588159292,0.04620158001695759,0.0017235374076416835,0.763029935982845,0.0049910770762957085,0.0030880045220246827,7.1293183316958935,8.66983163533101,3.7002792170796153,0.3220195236621222,99.83930796872266,414.83228940957963,13.939900138621589,3.1470603699267414,2.441220228882638,0.6186875810308242,0.05679594363619235,0.4903766873477517,53.889840697324914,150.95111458038932,3.1617148253323104,0.5252270208919334,59.16072074254516,0.0818160146068575,0.5836986842164291,3.456217963384161,1.4401495677608351,231.86723730311473,1.10369231390388,0.5556612788178135,0.0674109479653132,0.1551183666877515,66.9645151160339,0.1324969382124544,0.04363461771395502,2.100849674082249,0.20945767106756566,0.751342027464122,0.330757977470627
Norway,Aperitif,Alabama Beef Bowl (USA),1.5913303551334743,2.6130772944205964,0,57.44142628350923,11.149721922887787,4.7456863418495745,26.88458780374016,0.05333438808440255,6.53290733860831e-4,0.4588503784552864,0.018878576665630125,0.010475224033543642,9.705621953373978,4.2123410787807085,2.3901391226859565,1.0020584239186734,140.44534017141663,584.2163130805272,11.893599189965306,4.25555938310635,3.2405731612507758,1.8883820431373917,0.11046722292529619,0.2465155550110426,77.21122462762564,186.87794518677288,8.315168012082825,0.3593687628488979,34.39057215807145,0.07360049982419029,18.37656593528501,5.115780663530681,2.6413138667521676,144.7493607375264,0.29855343391442973,3.021018856950969,0.028879291126292124,0.16736773121748266,39.88533171508612,0.6807561043879855,0.09059095851108262,2.9353459538810496,0.5022452133772003,0.41470386052689584,2.0290943363024696
US,allrecipes,alysias basic meat lasagna,1.2355645482301918,1.7866474274544633,0,395.2734111751813,171.80502393145966,6.549098333363595,42.33243476773604,0.04858279981962568,0.0032525331702219435,1.0010514996747713,0.0052886189347808804,0.005223568271376441,10.424643160297093,16.719919409126998,5.587676087211628,0.9189927860533855,168.60684385182049,704.1558580619951,19.71953231081675,1.4468674187169894,4.022085005252707,1.3864101881103186,0.06794559245490875,0.35517825054826463,176.07521151750325,214.86072285794825,11.669662089218058,0.5465084676949126,60.308470042255266,0.13810606021594415,134.5027710740409,5.355425612755143,6.844456130183565,128.5367936020966,4.958465529815439,4.854832736971692e-4,0.05277493125545693,0.04358394448097404,143.04827652222033,1.0534395502643594,0.1277744939424706,5.296645690519787,1.6345930700267397,0.8229530287651501,2.057924480404054
Norway,Kolonialen,Angus tenderloin with sour honey sauce and grilled asparagus,1.242883251576603,2.2006471558041385,0,115.14477621442667,13.825682816578595,7.62566371681416,12.909403450690775,0.05346024065703189,0,1.178952059591265,0.0033972114343923093,0,1.339752976379958,20.657986884828418,0.9929458203348825,1.7422423123448143,78.6716113834596,331.75800598459284,21.212071051123704,4.896472910167442,0.47560960081492326,2.8029349971350355,0.02505443432864328,0.05916215700006367,94.98261921436303,305.18800534793405,8.428019354427962,0.09837015343477432,1.0191634303176929,0.11066785509645383,1.0238492391927168,0.5435538295027695,2.0189724326733303,413.5952123257148,2.7291908066467183,0,0.0731317247087286,0,10.49544788947603,0.5435538295027695,0.17332654230597822,10.635958489845292,0,0.4614248424269434,1.3684917552683515
